,classification
LIGASE/ANTIBIOTIC,8
ANTIFREEZE,8
TRANSCRIPTION/NUCLEAR PROTEIN,8
FIMBRIAL PROTEIN,8
FUSION PROTEIN,8
protein binding/toxin,8
"HYDROLASE(NUCLEIC ACID,RNA)",8
MEMBRANE PROTEIN/HORMONE,8
MOTOR PROTEIN/PROTEIN TRANSPORT,8
Hydrolase/Signaling Protein,8
HYDROLASE (CARBOXYLIC ESTERASE),8
PROTEIN TRANSPORT/EXCHANGE FACTOR,8
"Cell Cycle,Antitumor Protein/Inhibitor",8
SIGNALING PROTEIN/TOXIN,8
OXIDOREDUCTASE (ALDEHYDE(D)-NAD(A)),8
TRANSLATION/TRANSFERASE,8
EPIMERASE,8
"VIRAL PROTEIN, DNA-BINDING PROTEIN",8
HYDROLASE REGULATOR/VIRAL PROTEIN,8
"BIOSYNTHETIC PROTEIN, FLAVOPROTEIN",8
"signaling protein, immune system/signaling protein",8
METAL BINDING PROTEIN/HYDROLASE,8
COMPLEX (ONCOGENE PROTEIN/PEPTIDE),8
PENTAPEPTIDE REPEAT PROTEIN,8
HYDROLASE/protein binding,8
HYDROLASE ZYMOGEN (SERINE PROTEINASE),8
Retinoic acid-binding protein,8
"SPLICING, TRANSCRIPTION",8
TOXIN/PEPTIDE,8
"STRUCTURAL GENOMICS, unknown function",8
COMPLEX OF NITROGENASE PROTEINS,8
Transferase/Cell cycle,8
KINASE INHIBITOR/PEPTIDE,8
AVIDIN-RELATED PROTEIN,8
"ISOMERASE,BIOSYNTHETIC PROTEIN",8
"SIGNALING PROTEIN,TRANSFERASE/CELL CYCLE",8
Transport Protein/Immune System,8
XYLANASE,8
HYDROLASE/METAL BINDING PROTEIN,8
CALCIUM/PHOSPHOLIPID-BINDING,8
protein binding/transport protein,8
COMPLEX (PEPTIDE BINDING MODULE/PEPTIDE),8
RECOMBINATION ACTIVATOR,8
Immune Response,8
TRANSFERASE (CREATINE KINASE),8
Viral protein complex,8
TRANSLATION REGULATOR,8
"HYDROLASE, TOXIN",8
HISTONE/TRANSFERASE,8
HYDROLASE/TRANSCRIPTION REGULATOR,8
MYELOPEROXIDASE,8
"SIGNALING PROTEIN, CELL ADHESION",8
Viral protein/PEPTIDE,8
Transferase/transferase Inhibitor,8
"CYTOKINE, SIGNALING PROTEIN",8
ANTITUMOR PROTEIN/SIGNALING PROTEIN,8
TRANSFERASE/LIGASE,8
hydrolase/transcription,8
Hydrolase/Ribosomal Protein,8
DNA BINDING PROTEIN/LIGASE,8
TRANSFERASE(FORMYL),8
"TRANSLATION, TOXIN",8
Oxidoreductase/Lipid Transport,8
Immune system/viral protein,7
HYDROXYLASE,7
PLASMINOGEN ACTIVATOR,7
ISOMERASE/INHIBITOR,7
transcription repression,7
Isomerase/isomerase inhibitor,7
PEPTIDOGLYCAN BINDING PROTEIN,7
STREPTAVIDIN PEPTIDE 11101 COMPLEX,7
Signaling Protein/Protein Binding,7
STRUCTURAL PROTEIN/IMMUNE SYSTEM,7
CHAPERONE/IMMUNE SYSTEM,7
RETINOL-BINDING PROTEIN,7
"LIGASE,TRANSFERASE",7
COLLAGEN,7
ELECTRON TRANSPORT PROTEIN,7
REGULATOR,7
Mannose Binding Protein,7
"LYASE,TRANSFERASE",7
SERINE ESTERASE,7
BACTERIAL AMIDOHYDROLASE,7
HYDROGEN ION TRANSPORT,7
CYTOLYTIC PROTEIN,7
ACTIN BINDING PROTEIN,7
TRANSFERASE (ACYLTRANSFERASE),7
TRANSFERASE/TRANSFERASE INHBITOR,7
IRON TRANSPORT PROTEIN,7
DNA RECOMBINATION,7
"DNA BINDING PROTEIN, CHAPERONE",7
"DE NOVO PROTEIN, ANTIMICROBIAL PROTEIN",7
NUCLEAR HORMONE RECEPTOR,7
ALDOLASE (CLASS II),7
Transcription/Transcription inhibitor,7
LYASE ACTIVATOR,7
LYASE/HYDROLASE,7
"IMMUNE SYSTEM, HYDROLASE",7
CYTOCHROME,7
"SUGAR BINDING PROTEIN, VIRAL PROTEIN",7
"CELL CYCLE, STRUCTURAL PROTEIN",7
SH3-DOMAIN,7
APOPTOSIS REGULATOR/INHIBITOR,7
IMMUNOGLOBULIN BINDING PROTEIN,7
"HYDROLASE, DNA BINDING PROTEIN",7
MICROBIAL RIBONUCLEASE,7
VIRUS/CELL ADHESION,7
VIRAL PROTEIN/TRANSCRIPTION INHIBITOR,7
"membrane protein, cell invasion",7
"MOTOR PROTEIN, TRANSPORT PROTEIN",7
OXIDOREDUCTASE/TRANSCRIPTION REGULATOR,7
"ONCOPROTEIN, HYDROLASE",7
ANTIMICROBIAL,7
RETINOIC-ACID TRANSPORT,7
RIBONUCLEASE,7
PROTEIN TRANSPORT/Hydrolase,7
ELECTRON TRANSPORT PROTEIN(CUPROPROTEIN),7
Ligand Binding Protein,7
PLANT LECTIN (AGGLUTININ),7
"CYTOKINE, HORMONE/GROWTH FACTOR",7
PHEROMONE,7
TRANSFERASE/RNA BINDING PROTEIN,7
TOPOISOMERASE,7
OXIDOREDUCTASE/RNA BINDING PROTEIN,7
DNA-BINDING REGULATORY PROTEIN,7
"METAL TRANSPORT, membrane protein",7
VIMENTIN,7
"Hydrolase, Ligase",7
"structural protein, protein binding",7
"protein binding, ligase",7
NUCLEOCAPSID PROTEIN,7
"TRANSCRIPTION, TRANSFERASE/ANTIBIOTIC",7
FAD-BINDING PROTEIN,7
MEMBRANE BINDING PROTEIN,7
Oxidoreductase/Oxidoreducatse inhibitor,7
"DNA BINDING PROTEIN, PROTEIN BINDING",7
STRUCTURAL PROTEIN/OXIDOREDUCTASE,7
signaling protein/cytokine,7
"SIGNALING PROTEIN,HYDROLASE",7
"HYDROLASE,SIGNALING PROTEIN",7
"TOXIN, HYDROLASE",7
PROTEINASE INHIBITOR (KAZAL),7
SIGNALING PROTEIN/CYTOKINE,7
biotin-binding protein,7
"OXIDOREDUCTASE,HYDROLASE",7
"LYASE, TRANSFERASE",7
SUGAR BINDING PROTEIN/ANTIBIOTIC,7
MYOSIN,7
Transferase/metal binding protein,7
PROTEIN TRANSPORT/IMMUNE SYSTEM,7
Hormone Receptor,7
Transcription/DNA binding protein,7
RIBONUCLEOPROTEIN,7
"Ligase,Protein Binding",7
COILED COIL,7
Pheromone binding protein,7
IMMUNE SYSTEM-VIRAL PROTEIN,6
REPLICATION DNA BINDING PROTEIN,6
"oxidoreductase, electron transport",6
"LIGAND BINDING, TRANSPORT PROTEIN",6
"CELL CYCLE, SIGNALING PROTEIN",6
OXIDOREDUCTASE/METAL transport,6
COMPLEX (PROTEIN/PROTEIN),6
TRANSPORT PROTEIN INHIBITOR,6
IMMUNE SYSTEM/APOPTOSIS,6
Hydrolase/OXIDOREDUCTASE,6
EYE-LENS PROTEIN,6
"HYDROLASE,TRANSFERASE",6
IMMUNE SYSTEM/CELL CYCLE,6
CONTRACTILE SYSTEM PROTEIN,6
UNKNOWN FUNCTION/IMMUNE SYSTEM,6
Signaling Protein/Hormone,6
CONTRACTILE PROTEIN/CONTRACTILE PROTEIN,6
"APOPTOSIS, TOXIN",6
IMMUNOGLOBULIN/HYDROLASE(O-GLYCOSYL),6
Transferase/DNA BINDING PROTEIN,6
LIGASE/HYDROLASE,6
Kinase,6
ISOMERASE/ ISOMERASE SUBSTRATE,6
carbohydrate binding protein,6
Cytokine/IMMUNE SYSTEM,6
"SIGNALING PROTEIN,TRANSFERASE/INHIBITOR",6
TOXIN INHIBITOR/TOXIN,6
PHOSPHODIESTERASE,6
"REPLICATION, RNA BINDING PROTEIN",6
"Toxin, Lyase/Metal Binding Protein",6
TRANSFERASE/MOTOR PROTEIN,6
FATTY ACID BINDING PROTEIN,6
STRESS-RESPONSE,6
"MEMBRANE PROTEIN, METAL TRANSPORT",6
COMPLEX (TRANSDUCER/TRANSDUCTION),6
NEUROPEPTIDE RECEPTOR/NEUROPEPTIDE,6
ANTIBACTERIAL PROTEIN,6
"IMMUNE SYSTEM, STRUCTURAL PROTEIN",6
"Hydrolase, cell cycle",6
IMMUNE SYSTEM/ION TRANSPORT,6
"Toxin, hydrolase",6
ZINC FINGER DNA BINDING DOMAIN,6
BLOOD CLOTTING/IMMUNE SYSTEM,6
ACYL-COENZYME A BINDING PROTEIN,6
Hydrolase/Viral protein,6
Penicillin binding protein,6
Immune System/Viral protein,6
AMINE OXIDASE,6
ENDOCYTOSIS/REGULATOR,6
"TRANSPORT PROTEIN,MEMBRANE PROTEIN",6
PLANT SEED PROTEIN,6
HYDROLASE/NUCLEAR PROTEIN,6
TRANSLATION/IMMUNE SYSTEM,6
IMMUNE SYSTEM/GENE REGULATION,6
STRUCTURAL PROTEIN/DNA BINDING PROTEIN,6
Actin/DNA Binding Protein,6
"CELL CYCLE,SIGNALING PROTEIN",6
DOMAIN SWAPPING,6
nickel-binding protein,6
T-CELL SURFACE GLYCOPROTEIN,6
BLOOD CLOTTING/hydrolase inhibitor,6
Hydrolase Activator,6
Immune system/Cytokine,6
oxidoreductase/oxidoreductase,6
OXIDOREDUCTASE (CHOH(D)-NAD+(A)),6
COMPLEX (HUMANIZED ANTIBODY/HYDROLASE),6
Hydrolase/transcription,6
SUGAR TRANSPORT,6
PHOSPHORIC DIESTER HYDROLASE,6
"Oxygen Storage, Oxygen Transport",6
HORMONE/HORMONE INHIBITOR,6
Oxidoreductase/Electron Transfer,6
TOXIN RECEPTOR,6
"TRANSCRIPTION, DNA BINDING PROTEIN",6
Viral Protein/Cytokine,6
CELL CYCLE/PROTEIN BINDING,6
signaling protein/signaling protein,6
TRANSFERASE (GLYCOSYLTRANSFERASE),6
TAUTOMERASE,6
Heme-binding protein/Heme-binding protein,6
PENICILLIN-BINDING PROTEIN/ANTIBIOTIC,6
TRANSFER PROTEIN / STRUCTURAL PROTEIN,6
Cell Cycle/Ligase/Signaling Protein,6
"SIGNALING PROTEIN, Hydrolase",6
HYDROLASE/HYROLASE INHIBITOR,6
HYDROXYNITRILE LYASE,6
SIGNALING PROTEIN/Inhibitor,6
HYDROLASE/LIPID BINDING PROTEIN,6
TRANSFERASE/transferase inhibitor,6
PROTEIN BINDING/MEMBRANE PROTEIN,6
SUPEROXIDE DISMUTASE,6
"SUGAR BINDING PROTEIN, PROTEIN FIBRIL",6
CELLULASE,6
TRANSFERASE/TRANSFERASE BINDING PROTEIN,6
METAL TRANSPORT/CALCIUM BINDING PROTEIN,6
COMPLEX (DNA-BINDING PROTEIN/DNA),6
FATTY ACID BIOSYNTHESIS,6
HYDROLASE (UREA AMIDO),6
"hydrolase, apoptosis",6
VIRAL PROTEIN/SIGNALING PROTEIN,6
carboxypeptidase,6
transcription regulator / ribosomal protein,6
VIRAL PROTEIN/ ANTITUMOR PROTEIN,6
tranport protein/inhibitor,6
UBIQUITIN CONJUGATION,6
THIAMINE BINDING PROTEIN,6
"STRUCTURAL PROTEIN, IMMUNE SYSTEM",6
COMPLEX(ANTIBODY-ANTIGEN),6
COMPLEX (PEPTIDE TRANSPORT/PEPTIDE),6
HYDROLASE/DNA,6
TRANSLATION INHIBITOR,6
Protein binding/Blood clotting,6
COAGULATION FACTOR BINDING,6
TRANSCRIPTION REGULATOR/ANTIBIOTIC,6
TRANSPORT PROTEIN/TRANSCRIPTION,6
COMPLEX (IMMUNOGLOBULIN/RECEPTOR),6
HORMONE/GROWTH FACTOR/RECEPTOR,6
IMMUNE SYSTEM/BLOOD CLOTTING,6
TOXIN/PROTEIN TRANSPORT,6
Cytokine/inhibitor,6
EXTRACELLULAR MATRIX PROTEIN,6
"TRANSLATION, RNA BINDING PROTEIN",6
MEMBRANE PROTEIN/METAL TRANSPORT,6
CONTRACTILE PROTEIN/TRANSCRIPTION,6
EXOCYTOSIS/PROTEIN BINDING,6
transferase/transferase activator,6
"Endocytosis,exocytosis",6
TRANSPORT PROTEIN/DNA binding Protein,6
FORMYLTRANSFERASE,6
COMPLEX (PHOSPHOTRANSFERASE/INHIBITOR),6
LIGASE/LIGASE/SIGNALLING PROTEIN,6
PROTEIN TRANSPORT/NUCLEAR PROTEIN,6
STEROID BINDING PROTEIN/TRANSCRIPTION,6
Apoptosis Inhibitor,6
COMPLEX (ISOMERASE/KINASE),6
"TOXIN,HYDROLASE",6
Thyroid hormone-binding protein,6
COMPLEX (PROTEIN TRANSPORT/PEPTIDE),6
"PROTON TRANSPORT, MEMBRANE PROTEIN",6
ACTIN-BINDING,6
HORMONE/HORMONE RECEPTOR/IMMUNE SYSTEM,6
"structural protein, signaling protein",6
Chaperone/Antimicrobial protein,6
HYDROLASE/TRANSPORT PROTEIN/ANTIBIOTIC,6
Chaperone/chaperone Inhibitor,6
BLOOD COAGULATION INHIBITOR,6
HYDROLASE/GTP-BINDING PROTEIN,6
APOPTOSIS/IMMUNE SYSTEM,6
CHAPERONE/SIGNALING PROTEIN,6
VIRAL PROTEIN/IMMUME SYSTEM,6
"LYASE, HYDROLASE",6
GLYCOSIDE HYDROLASE,6
IMMUNE SYSTEM/Apoptosis,6
HYDROLASE REGULATOR/ANTIBIOTIC,6
TRANSCRIPTION ACTIVATOR/INHIBITOR,6
CELL CYCLE/TRANSFERASE SUBSTRATE,6
Oxidoreductase/oxidoreductase inhibitor,6
CYTOLYSIN,6
CELL ADHESION/INHIBITOR,6
LYSOZYME,6
TRANSCRIPTION/AGONIST,6
Ligase/Transcription,6
MOLYBDATE BINDING PROTEIN,6
CELL ADHESION/TRANSPORT/CHAPERONE,6
Hydrolase/peptide,6
METALLOCHAPERONE,6
STRUCTURAL PROTEIN/TRANSPORT PROTEIN,6
ATPASE INHIBITOR,6
VIRAL PROTEIN/RIBOSOMAL PROTEIN,6
"OXYGEN TRANSPORT, OXYGEN STORAGE",6
TRANSCRIPTIONAL REGULATION,6
HYDROLASE/LIGASE/HYDROLASE,6
GRISEOLUTEATE-BINDING PROTEIN,6
CELL INVASION/inhibitor,6
signaling protein/inhibitor/activator,6
"cell cycle, signaling protein",6
"UNKNOWN FUNCTION, PROTEIN BINDING",6
"SIGNALING PROTEIN,ENDOCYTOSIS/EXOCYTOSIS",6
TRANSCRIPTION REGULATION COMPLEX,6
COMPLEX (ACTIN-BINDING PROTEIN/PEPTIDE),6
OXIDOREDUCTASE(CHOH(D)-NAD+(A)),6
STRUCTURAL PROTEIN/Immune System,6
LIGAND-BINDING PROTEIN,6
SERINE PROTEASE/INHIBITOR COMPLEX,6
PROTEIN HORMONE,6
TRANSFERASE (PHOSPHOTRANSFERASE),6
NUCLEAR PROTEIN/PEPTIDE,6
lyase/metal binding protein,6
TRANSFERASE/OXIDOREDUCTASE/LYASE,6
HYDROLASE/TRANSLATION,6
APOLIPOPROTEIN,6
hydrolase/substrate,6
TRANSFERASE/METAL-BINDING PROTEIN,6
ELECTRON TRANSPORT(CYTOCHROME),6
COMPLEX (GTPASE-ACTIVATING/GTP-BINDING),6
SUGAR BINDING PROTEIN/PEPTIDE,6
HYDROLASE/PROTEIN TRANSPORT,6
HYDROLASE/SUGAR BINDING PROTEIN,6
TRANSFERASE/RNA,6
"PROTEIN TRANSPORT, SIGNALING PROTEIN",6
HYDROLASE/Signaling Protein,6
Oxidoreductase/IMMUNE SYSTEM,6
GLUTAMINE AMIDOTRANSFERASE,6
Lyase/Protein binding,6
PROTEIN TRANSPORT/EXOCYTOSIS,6
signaling Protein/transferase/Inhibitor,6
INTEGRIN,6
Signaling protein/Immune system,6
COPPER BINDING PROTEIN,6
SIGNALING PROTEIN complex,6
TRANSCRIPTION regulator,6
CYTOKINE RECEPTOR/IMMUNE SYSTEM,6
TRANSCRIPTION/VIRAL PROTEIN,6
MOTOR PROTEIN/PROTEIN BINDING,6
"TRANSLATION, HYDROLASE",6
CYTOKINE/Signaling Protein,6
HYDROLASE/SIGNALING PROTEIN/PROTEIN BINDING,6
MHC CLASS I,6
PROTEIN TRANSPORT/Viral protein,6
COMPLEX (IMMUNOGLOBULIN/TISSUE FACTOR),6
BLOOD CLOTTING/BLOOD CLOTTING INHIBITOR,6
"PROTEIN BINDING, LIGASE",6
FIBRE PROTEIN,6
SIGNALING PROTIEN,6
PROTEIN BINDING/LIGASE/TRANSFERASE,6
HYDROLASE (CARBOXYLIC ESTER),6
hydrolase/hydrolase,6
Viral protein/INHIBITOR,6
MEMBRANE PROTEIN/TRANSFERASE,6
hydrolase regulator,6
OXIDOREDUCTASE/TRANSCRIPTION/INHIBITOR,6
"ANTITUMOR PROTEIN, APOPTOSIS",6
OXIDOREDUCTASE(FLAVOPROTEIN),6
"HYDROLASE, VIRAL PROTEIN",6
Biosynthetic Protein/Antibiotic,6
hydrolase/hydrolase activator,6
"APOPTOSIS, TRANSPORT PROTEIN",6
Protein Transport/Splicing,6
TRANSFERASE/REPLICATION,6
BINDING PROTEINS,6
"TRANSLATION, PROTEIN TRANSPORT",6
SIGNALING PROTEIN/AGONIST,6
OXIDOREDUCTASE (MONOOXYGENASE),6
"TRANSFERASE,LYASE",6
"Isomerase, Transferase",6
Lyase/lyase Inhibitor,6
UNKNOWN PROTEIN,6
HISTOCOMPATIBILITY ANTIGEN/PEPTIDE,6
Oxidoreductase/oxidoreductase Inhibitor,6
Hydrolase/Toxin,6
"DNA BINDING PROTEIN, GENE REGULATION",6
OXIDOREDUCTASE(CHNH2(D)-DEAMINATING),6
Viral Protein/cytokine,6
"SIGNALING PROTEIN, CELL CYCLE",6
HORMONE/GROWTH FACTOR/TRANSFERASE,6
"HYDROLASE, TOXIN/PROTEIN TRANSPORT",6
Oncoprotein/Hydrolase,6
COMPLEX (IMMUNOGLOBULIN/BINDING PROTEIN),6
DE NOVO PROTEIN/HYDROLASE,6
HYDROLASE (ENDORIBONUCLEASE),6
Viral Protein/VPX-BINDING PROTEIN,6
ligand binding protein,6
BLOOD CLOTTING/INHIBITOR,6
"Signaling Protein, Membrane Protein",6
PROTEIN BINDING/STRUCTURAL PROTEIN,6
PROTEIN BINDING/Ligase,6
CYTOKINE/DE NOVO PROTEIN,6
HYDRO-LYASE,6
COMPLEX (BLOOD COAGULATION/PROENZYME),6
cell cycle inhibitor,6
COMPLEX (TRANSCRIPTION REG/ANK REPEAT),6
HISTONE/CHAPERONE,6
COMPLEX (HYDROLASE/IMMUNOGLOBULIN),6
"CIRCADIAN CLOCK PROTEIN, Transferase",6
NITRIC OXIDE TRANSPORT,6
Transferase/Ribosomal protein,6
ENDOGLUCANASE,6
"Immune system, metal binding protein",6
"SUGAR BINDING PROTEIN, PEPTIDE BINDING PROTEIN",6
"HYDROLASE, BIOSYNTHETIC PROTEIN",6
COMPLEX (SINGLE-CHAIN ANTIBODY/ANTIGEN),6
Hydrolase/HYDROLASE INHIBITOR,6
"LIGASE, CELL CYCLE",6
PHOSPHOTRANSFERASE (PO4 AS ACCEPTOR),6
"signaling protein, transferase",6
NON-HEME IRON DIOXYGENASE,6
"VIRAL PROTEIN, UNKNOWN FUNCTION",6
Chaperone/Structural Protein,6
MEMBRANE PROTEIN/OXIDOREDUCTASE,6
"HYDROLASE ACTIVATOR,PROTEIN BINDING",5
"HYDROLASE,TRANSLATION",5
LYASE INHIBITOR,5
MATRIX METALLOPROTEASE,5
protein synthesis/transferase,5
CALCIUM-BINDING PROTEIN/PROTEIN BINDING,5
LIGASE/SIGNALLING PROTEIN,5
CHAPERONE/ATP BINDING PROTEIN,5
PROTEIN TURNOVER,5
DNA BINDING protein/inhibitor,5
"SIGNALING PROTEIN, flavoprotein",5
"HYDROLASE ACTIVATOR, PROTEIN BINDING",5
LIGASE/ANTAGONIST,5
nucleic acid binding protein,5
CHAPERONE/APOPTOSIS,5
CYTOKINE/TRANSFERASE,5
GTP-BINDING PROTEIN/HYDROLASE,5
CELL ADHESION/CHAPERONE/MEMBRANE PROTEIN,5
"TRANSFERASE,OXIDOREDUCTASE/INHIBITOR",5
Hormone/Growth Factor Receptor,5
inositol phosphate binding protein,5
Nucleotide Binding Protein,5
OXIDOREDUCTASE ACTIVATOR,5
OXYGEN STORAGE/TRANSPORT PROTEIN,5
"Sugar binding protein, Hormone",5
GTP-binding protein,5
SEROTONIN BINDING PROTEIN,5
actin-binding protein,5
"SUGAR BINDING PROTEIN, LYASE",5
odorant-binding protein,5
"METAL BINDING, RNA BINDING PROTEIN",5
Selenium-Binding Protein,5
LYASE/BIOSYNTHETIC PROTEIN,5
"STRUCTURAL PROTEIN, MOTOR PROTEIN",5
"OXYGEN BINDING, TRANSPORT PROTEIN",5
CELL INVASION/INHIBITOR,5
PRION-BINDING PROTEIN,5
LYASE/ANTIBIOTIC,5
actin binding protein,5
Transcription regulation/ONCOPROTEIN,5
"Metal binding, DNA binding protein",5
"MEMBRANE PROTEIN, CELL ADHESION",5
membrane protein/transport protein,5
"TRANSCRIPTION REPRESSOR, CELL CYCLE",5
"Hydrolase, Transferase",5
PEPTIDE BINDING PROTEIN/INHIBITOR,5
"DNA BINDING PROTEIN, CELL CYCLE",5
SIGNALING PROTEIN/APOPTOSIS,5
Apoptosis/PROTEIN BINDING,5
"PROTEIN TURNOVER, LIGASE",5
TOXIN/PROTEIN BINDING,5
GTP binding protein,5
"Membrane protein, metal binding protein",5
VIRUS LIKE PARTICLE/IMMUNE SYSTEM,5
VIRAL PROTEIN/SIGNALLING PROTEIN,5
Metal Transport/Membrane Protein,5
"LIGASE, TRANSFERASE",5
METHIONINE-BINDING PROTEIN,5
MOTOR PROTEIN/METAL-BINDING PROTEIN,5
carbohydrate-binding protein,5
Membrance Protein,5
ISOMERASE/PROTEIN BINDING,5
"DE NOVO PROTEIN, HYDROLASE",5
DYE-BINDING PROTEIN,5
SIGNALING PROTEIN RECEPTOR,5
TRANSCRIPTION/TRANSCRIPTION AGONIST,5
MEMBRANE PROTEIN/PROTEIN TRANSPORT,5
"PROTEIN BINDING, CELL CYCLE",5
"Chaperone, Isomerase",5
PEPTIDOGLYCAN-BINDING PROTEIN,5
"HYDROLASE, Transferase",5
TRANSCRIPTION/METAL BINDING PROTEIN,5
"Oxidoreductase, Hydrolase",5
"DNA BINDING PROTEIN, TRANSCRIPTION",5
HISTONE BINDING PROTEIN,5
DNA BINDING PROTEIN/TRANSCRIPTION,5
Hydrolase/transcription regulator/protein binding,5
PROTEIN,5
Hydrolase/calcium binding protein,5
"H3K4ME3 BINDING PROTEIN, TRANSFERASE",5
VIRUS/SIGNALING PROTEIN,5
LIGASE/TRANSPORT PROTEIN,5
odorant binding protein,5
"HYDROLASE, GENE REGULATION",5
ZINC ENDOPEPTIDASE,5
Calcium-Binding Protein,5
"Viral protein, transferase",5
CELL CYCLE PROTEIN,5
"PROTEIN TRANSPORT,SUGAR BINDING PROTEIN",5
CAPPING ENZYME,5
SH2 DOMAIN,5
PHOSPHORYLASE,5
MALTOSE-BINDING PROTEIN,5
"UNKNOWN FUNCTION, STRUCTURAL GENOMICS",5
Oxidoreductase activator,5
TRNA SYNTHETASE,5
HYDROLASE (METALLOPROTEINASE),5
PEROXIDASE (DONOR:H2O2 OXIDOREDUCTASE),5
"REPLICATION, SIGNALING PROTEIN",5
HYDROLASE(METALLOPROTEINASE),5
COMPLEX (MHC I/PEPTIDE/CD8),5
IMMUNE SYSTEM PROTEIN,5
"CHAPERONE, STRUCTURAL PROTEIN",5
HORMONE/GROWTH FACTOR/MEMBRANE PROTEIN,5
AMYLOID PROTEIN,5
TRANSPORT/NUCLEAR PROTEIN,5
ACTIN BINDING,5
PHOSPHOINOSITIDE 3-KINASE GAMMA,5
HYDROLASE INHIBITOR/PEPTIDE,5
BACTERIOCIN,5
OXIDOREDUCTASE(CYTOCHROME),5
OXIDOREDUCTASE (FLAVOENZYME),5
HYDROLASE (ASPARTIC PROTEINASE),5
PHOSPHORYLATION,5
HYDROLASE (PROTEASE),5
IRON-SULFUR PROTEIN,5
RNA BINDING,5
COMPLEX (BINDING PROTEIN/PEPTIDE),5
LIGASE/CELL CYCLE,5
BILIVERDIN-IX BETA REDUCTASE,5
CHROMATIN-BINDING,5
COMPLEX (TOXIN/PEPTIDE),5
COMPLEX (OXIDOREDUCTASE/TRANSFERASE),5
OXIDOREDUCTASE(NADP),5
"TRANSPORT PROTEIN, STRUCTURAL PROTEIN",5
ANGIOGENESIS INHIBITOR,5
TRANSFERASE(METHYLTRANSFERASE),5
EXTRACELLULAR MODULE,5
"HYDROLASE, ALLERGEN",5
OXIDOREDUCTASE (CHOH(D)-NADP+(A)),5
MOLECULAR CHAPERONE,5
PROTEIN SYNTHESIS INHIBITOR,5
PLASMID,5
IMMUNOSUPPRESSANT,5
PHOSPHOTRANSFERASE(PO4 AS ACCEPTOR),5
"HYDROLASE, PLANT PROTEIN",5
HYDROLASE(ACTING IN CYCLIC AMIDES),5
SENSORY TRANSDUCTION,5
RIBONUCLEASE INHIBITOR,5
CELL DIFFERENTIATION,5
"CHAPERONE, LIGAND BINDING",5
ELECTRON TRANSPORT PROTEINS,5
"HYDROLASE, CELL CYCLE",5
STRUCTURAL PROTEIN/SIGNALING PROTEIN,5
OXIDOREDUCTASE(ACTING ON NADH OR NADPH),5
Hormone receptor,5
EF-HAND PROTEIN,5
PROTEIN KINASE INHIBITOR,5
Viral Protein/apoptosis,4
HYDROLASE(ASPARTIC PROTEINASE),4
LIGASE (ATP-BINDING),4
cytokine/signaling protein,4
COMPLEMENT INHIBITOR,4
LIGASE/OXIDOREDUCTASE,4
OXIDOREDUCTASE(COPPER),4
Hormone/Peptide,4
METAL/DNA BINDING PROTEIN,4
"Toxin,Hydrolase/protein binding",4
Hormone binding protein/peptide,4
"De Novo Protein, Hydrolase",4
CALCIUM-BINDING PROTEIN/METAL TRANSPORT,4
"VIRAL PROTEIN, IMMUNE SYSTEM",4
PEPTIDE TOXIN,4
Hydrolase/DNA binding protein,4
HYDOLASE/INHIBITOR,4
viral protein/signaling protein,4
CALCIUM BINDING PROTEIN/PROTEIN BINDING,4
TRANSCRIPTION FACTOR/HORMONE,4
"Transferase, Cell cycle",4
FAMILY 1 BETA-GLUCOSIDASE COMPLEX,4
CYSTEINE PROTEASE INHIBITOR,4
B-LACTAM ANTIBIOTIC,4
CYTOKINE/TRANSPORT PROTEIN,4
"TRANSFERASE, HYDROLASE/OXIDOREDUCTASE",4
Transport protein/Inhibitor,4
Oxidoreductase/Antibiotic,4
signaling protein / cell adhesion,4
ZN-ENDOPEPTIDASE,4
METAL BINDING PROTEIN/HORMONE RECEPTOR,4
"TRANSLATION,PROTEIN TURNOVER",4
ANTIVIRAL PROTEIN/HYDROLASE,4
COMPLEX (SIGNAL PROTEIN/PEPTIDE),4
MEMBRANE PROTEIN/METAL BINDING PROTEIN,4
Metal Binding Protein/Transport Protein,4
Transferase/Hormone,4
NEUROPEPTIDE/MEMBRANE PROTEIN,4
Transcription/peptide,4
TRANSPORT PROTEIN/GTP-BINDING PROTEIN,4
COMPLEX (SMALL GTPASE/NUCLEAR PROTEIN),4
"Transcription, Transferase",4
IRON PROTEIN,4
LIGASE/LIGASE Inhibitor,4
Motor/Fluorescent Protein,4
"CONTRACTILE PROTEIN, STRUCTURAL PROTEIN",4
Signaling Protein/Antagonist,4
Transcription/transcription Inhibitor,4
ALDEHYDE DEHYDROGENASE,4
COMPLEX (KINASE/INHIBITOR),4
"DE NOVO PROTEIN, RNA BINDING PROTEIN",4
HYDROLASE(IN LINEAR AMIDES),4
OXIDOREDUCTASE/TRANSLATION,4
"HYDROLASE, Metal binding protein",4
CELL CYCLE REGULATORY PROTEIN,4
ASPARTIC PROTEINASE,4
"TRANSCRIPTION REGULATOR, METAL BINDING PROTEIN",4
IMMUNE SYSTEM/Toxin,4
PROTEIN BINDING/Transferase,4
RECEPTOR/GLYCOPROTEIN,4
Viral protein/ translation,4
COMPLEX (TYROSINE KINASE/PEPTIDE),4
COMPLEX (HYDROLASE/COFACTOR),4
"STRUCTURAL GENOMICS,LYASE",4
